ID Geography,Geography,Population (2018)
05000US72139,"Trujillo Alto Municipio, PR",63746
05000US39133,"Portage County, OH",162927
05000US39119,"Muskingum County, OH",86183
05000US01003,"Baldwin County, AL",218022
05000US39139,"Richland County, OH",121099
05000US39113,"Montgomery County, OH",532331
05000US39109,"Miami County, OH",106222
05000US39141,"Ross County, OH",76931
05000US01015,"Calhoun County, AL",114277
05000US72137,"Toa Baja Municipio, PR",74623
05000US39103,"Medina County, OH",179146
05000US39101,"Marion County, OH",65256
05000US01043,"Cullman County, AL",83442
05000US39145,"Scioto County, OH",75502
05000US39099,"Mahoning County, OH",229642
05000US39095,"Lucas County, OH",429899
05000US39151,"Stark County, OH",371574
05000US01049,"DeKalb County, AL",71385
05000US72135,"Toa Alta Municipio, PR",71094
05000US39093,"Lorain County, OH",309461
05000US39089,"Licking County, OH",175769
05000US01051,"Elmore County, AL",81887
05000US39153,"Summit County, OH",541918
05000US39085,"Lake County, OH",230514
05000US39081,"Jefferson County, OH",65767
05000US39155,"Trumbull County, OH",198627
05000US01055,"Etowah County, AL",102501
05000US72127,"San Juan Municipio, PR",320967
05000US39063,"Hancock County, OH",75930
05000US39061,"Hamilton County, OH",816684
05000US01069,"Houston County, AL",104722
05000US39157,"Tuscarawas County, OH",92176
05000US39057,"Greene County, OH",167995
05000US39055,"Geauga County, OH",94031
05000US39165,"Warren County, OH",232173
05000US01073,"Jefferson County, AL",659300
05000US72113,"Ponce Municipio, PR",133191
05000US39049,"Franklin County, OH",1310300
05000US39045,"Fairfield County, OH",155782
05000US01077,"Lauderdale County, AL",92387
05000US39169,"Wayne County, OH",115967
05000US39043,"Erie County, OH",74615
05000US39041,"Delaware County, OH",204826
05000US39173,"Wood County, OH",130696
05000US01081,"Lee County, AL",163941
05000US72097,"Mayagüez Municipio, PR",71986
05000US39035,"Cuyahoga County, OH",1243857
05000US39029,"Columbiana County, OH",102665
05000US01083,"Limestone County, AL",96174
05000US40017,"Canadian County, OK",144447
05000US39025,"Clermont County, OH",205466
05000US39023,"Clark County, OH",134585
05000US40027,"Cleveland County, OK",281669
05000US01089,"Madison County, AL",366519
05000US72061,"Guaynabo Municipio, PR",83787
05000US39017,"Butler County, OH",382378
05000US39013,"Belmont County, OH",67505
05000US01095,"Marshall County, AL",96109
05000US40031,"Comanche County, OK",120422
05000US39009,"Athens County, OH",65818
05000US39007,"Ashtabula County, OH",97493
05000US39003,"Allen County, OH",102663
05000US01097,"Mobile County, AL",413757
05000US72031,"Carolina Municipio, PR",147661
05000US40037,"Creek County, OK",71604
05000US38101,"Ward County, ND",67744
05000US01101,"Montgomery County, AL",225763
05000US38035,"Grand Forks County, ND",70770
05000US40101,"Muskogee County, OK",68362
05000US38017,"Cass County, ND",181516
05000US38015,"Burleigh County, ND",95273
05000US01103,"Morgan County, AL",119089
05000US72025,"Caguas Municipio, PR",124434
05000US40109,"Oklahoma County, OK",792582
05000US37195,"Wilson County, NC",81455
05000US01115,"St. Clair County, AL",88690
05000US37193,"Wilkes County, NC",68557
05000US40119,"Payne County, OK",82040
05000US37191,"Wayne County, NC",123248
05000US37183,"Wake County, NC",1092305
05000US01117,"Shelby County, AL",215707
05000US72021,"Bayamón Municipio, PR",170480
05000US40125,"Pottawatomie County, OK",72679
05000US37179,"Union County, NC",235908
05000US01121,"Talladega County, AL",79828
05000US37171,"Surry County, NC",71948
05000US40131,"Rogers County, OK",91984
05000US37161,"Rutherford County, NC",66826
05000US37159,"Rowan County, NC",141262
05000US01125,"Tuscaloosa County, AL",208911
05000US72013,"Arecibo Municipio, PR",82114
05000US40143,"Tulsa County, OK",648360
05000US37157,"Rockingham County, NC",90690
05000US01127,"Walker County, AL",63711
05000US37155,"Robeson County, NC",131831
05000US40145,"Wagoner County, OK",80110
05000US37151,"Randolph County, NC",143351
05000US37147,"Pitt County, NC",179914
05000US02020,"Anchorage Municipality, AK",291538
05000US56025,"Natrona County, WY",79115
05000US41003,"Benton County, OR",92101
05000US37135,"Orange County, NC",146027
05000US02090,"Fairbanks North Star Borough, AK",98971
05000US37133,"Onslow County, NC",197683
05000US41005,"Clackamas County, OR",416075
05000US37129,"New Hanover County, NC",232274
05000US37127,"Nash County, NC",94016
05000US02170,"Matanuska-Susitna Borough, AK",107610
05000US56021,"Laramie County, WY",98976
05000US41017,"Deschutes County, OR",191996
05000US37125,"Moore County, NC",98682
05000US04001,"Apache County, AZ",71818
05000US37119,"Mecklenburg County, NC",1093901
05000US41019,"Douglas County, OR",110283
05000US37109,"Lincoln County, NC",83770
05000US37101,"Johnston County, NC",202675
05000US04003,"Cochise County, AZ",126770
05000US55141,"Wood County, WI",73055
05000US41029,"Jackson County, OR",219564
05000US37097,"Iredell County, NC",178435
05000US04005,"Coconino County, AZ",142854
05000US37089,"Henderson County, NC",116748
05000US41033,"Josephine County, OR",87393
05000US37085,"Harnett County, NC",134214
05000US37081,"Guilford County, NC",533670
05000US04013,"Maricopa County, AZ",4410824
05000US55139,"Winnebago County, WI",171020
05000US41035,"Klamath County, OR",67653
05000US37071,"Gaston County, NC",222846
05000US04015,"Mohave County, AZ",209550
05000US37069,"Franklin County, NC",67560
05000US37067,"Forsyth County, NC",379099
05000US41039,"Lane County, OR",379611
05000US37063,"Durham County, NC",316739
05000US04017,"Navajo County, AZ",110445
05000US55133,"Waukesha County, WI",403072
05000US37057,"Davidson County, NC",166614
05000US41043,"Linn County, OR",127335
05000US04019,"Pima County, AZ",1039073
05000US37051,"Cumberland County, NC",332330
05000US37049,"Craven County, NC",102912
05000US41047,"Marion County, OR",346868
05000US37045,"Cleveland County, NC",97645
05000US04021,"Pinal County, AZ",447138
05000US55131,"Washington County, WI",135693
05000US37037,"Chatham County, NC",73139
05000US41051,"Multnomah County, OR",811880
05000US04025,"Yavapai County, AZ",231993
05000US37035,"Catawba County, NC",158652
05000US37031,"Carteret County, NC",69524
05000US41053,"Polk County, OR",85234
05000US37027,"Caldwell County, NC",82029
05000US04027,"Yuma County, AZ",212128
05000US55127,"Walworth County, WI",103718
05000US37025,"Cabarrus County, NC",211342
05000US41059,"Umatilla County, OR",77516
05000US05007,"Benton County, AR",272608
05000US37023,"Burke County, NC",90382
05000US37021,"Buncombe County, NC",259103
05000US41067,"Washington County, OR",597695
05000US37019,"Brunswick County, NC",136744
05000US05031,"Craighead County, AR",108558
05000US55117,"Sheboygan County, WI",115456
05000US37001,"Alamance County, NC",166436
05000US41071,"Yamhill County, OR",107002
05000US05045,"Faulkner County, AR",124806
05000US36119,"Westchester County, NY",967612
05000US36117,"Wayne County, NY",90064
05000US42001,"Adams County, PA",102811
05000US36113,"Warren County, NY",64265
05000US05051,"Garland County, AR",99154
05000US55109,"St. Croix County, WI",89694
05000US36111,"Ulster County, NY",178599
05000US42003,"Allegheny County, PA",1218452
05000US05069,"Jefferson County, AR",68114
05000US36109,"Tompkins County, NY",102793
05000US36105,"Sullivan County, NY",75498
05000US42005,"Armstrong County, PA",65263
05000US36103,"Suffolk County, NY",1481093
05000US05085,"Lonoke County, AR",73657
05000US55105,"Rock County, WI",163129
05000US36101,"Steuben County, NY",95796
05000US42007,"Beaver County, PA",164742
05000US05119,"Pulaski County, AR",392680
05000US36093,"Schenectady County, NY",155350
05000US36091,"Saratoga County, NY",230163
05000US42011,"Berks County, PA",420152
05000US36089,"St. Lawrence County, NY",108047
05000US05125,"Saline County, AR",121421
05000US55101,"Racine County, WI",196584
05000US36087,"Rockland County, NY",325695
05000US42013,"Blair County, PA",122492
05000US05131,"Sebastian County, AR",127753
05000US36085,"Richmond County, NY",476179
05000US36083,"Rensselaer County, NY",159442
05000US42017,"Bucks County, PA",628195
05000US36081,"Queens County, NY",2278906
05000US05143,"Washington County, AR",236961
05000US55097,"Portage County, WI",70942
05000US36079,"Putnam County, NY",98892
05000US42019,"Butler County, PA",187888
05000US05145,"White County, AR",78727
05000US36075,"Oswego County, NY",117898
05000US36071,"Orange County, NY",381951
05000US42021,"Cambria County, PA",131730
05000US36069,"Ontario County, NY",109864
05000US06001,"Alameda County, CA",1666753
05000US55089,"Ozaukee County, WI",89147
05000US36067,"Onondaga County, NY",461809
05000US42025,"Carbon County, PA",64227
05000US06007,"Butte County, CA",231256
05000US36065,"Oneida County, NY",229577
05000US36063,"Niagara County, NY",210433
05000US42027,"Centre County, PA",162805
05000US36061,"New York County, NY",1628701
05000US06013,"Contra Costa County, CA",1150215
05000US55087,"Outagamie County, WI",187365
05000US36059,"Nassau County, NY",1358343
05000US42029,"Chester County, PA",522046
05000US06017,"El Dorado County, CA",190678
05000US36055,"Monroe County, NY",742474
05000US36053,"Madison County, NY",70795
05000US42033,"Clearfield County, PA",79388
05000US36051,"Livingston County, NY",63227
05000US06019,"Fresno County, CA",994400
05000US55079,"Milwaukee County, WI",948201
05000US36047,"Kings County, NY",2582830
05000US42037,"Columbia County, PA",65456
05000US06023,"Humboldt County, CA",136373
05000US36045,"Jefferson County, NY",111755
05000US36029,"Erie County, NY",919719
05000US42039,"Crawford County, PA",85063
05000US36027,"Dutchess County, NY",293718
05000US06025,"Imperial County, CA",181827
05000US55073,"Marathon County, WI",135428
05000US36019,"Clinton County, NY",80695
05000US42041,"Cumberland County, PA",251423
05000US06029,"Kern County, CA",896764
05000US36015,"Chemung County, NY",84254
05000US36013,"Chautauqua County, NY",127939
05000US42043,"Dauphin County, PA",277097
05000US36011,"Cayuga County, NY",77145
